pair_id,resume_id,jd_id,track_resume,track_jd,resume_text,jd_text,resume_skills,jd_skills,exp_years_resume,exp_years_req,edu_resume,edu_req,skill_score,experience_score,education_score,bert_proxy,ats_proxy,label_match,competence_level,competence_label,split,reviewer_label_match,reviewer_competence,reviewer_notes
P002384,R00596,J00196,frontend,frontend,"Summary: Results-driven developer with 5 years of hands-on industry experience.
Technical Skills: angular, express, git, github, html, javascript, vue.
Experience: 5 years of professional experience including design, testing and deployment.
Education: Master of Science in Data Science.
","Job Title: Frontend Developer
Requirements: Strong background in angular, github, html, node, react, typescript.
Experience: Minimum 3 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",angular;express;git;github;html;javascript;vue,angular;github;html;node;react;typescript,5,3,master,none,50.0,100.0,100.0,84.2,76.05,1,2,Good,val,,,
P002538,R00634,J00084,fullstack,fullstack,"Summary: Software engineer with 1 years of experience building scalable applications.
Technical Skills: aws, docker, git, javascript, mongodb, python, react, typescript.
Experience: Total of 1 years experience in software development and team collaboration.
Education: BCA in Computer Applications.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, git, javascript, node, python, react.
Experience: Minimum 5 years of relevant experience required.
Education: PhD or doctorate preferred.
",aws;docker;git;javascript;mongodb;python;react;typescript,aws;git;javascript;node;python;react,1,5,bachelor,phd,83.33,20.0,0.0,87.12,59.11,0,1,Average,train,,,
P002176,R00544,J00004,fullstack,fullstack,"Summary: Motivated engineer with 6 years of experience across full project lifecycles.
Technical Skills: aws, docker, express, git, mongodb, python, react, sql, typescript.
Experience: Worked for 6 years as a software engineer delivering production systems.
Education: BCA in Computer Applications.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, express, git, python.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;express;git;mongodb;python;react;sql;typescript,aws;express;git;python,6,1,bachelor,bachelor,100.0,100.0,100.0,100.0,100.0,1,3,Strong,train,,,
P000897,R00224,J00174,fullstack,fullstack,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: aws, docker, express, mongodb, node, python, react.
Experience: Academic projects and internships covering design and implementation.
Education: Master of Science in Data Science.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, express, node, python, react, sql.
Experience: Minimum 5 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;express;mongodb;node;python;react,aws;express;node;python;react;sql,0,5,master,bachelor,83.33,0.0,100.0,90.65,71.0,1,2,Good,train,,,
P000214,R00053,J00021,devops,frontend,"Summary: Software engineer with 4 years of experience building scalable applications.
Technical Skills: aws, azure, gcp, git, sql.
Experience: Worked for 4 years as a software engineer delivering production systems.
Education: MCA in Computer Applications.
","Job Title: Frontend Developer
Requirements: Strong background in angular, git, github, html, javascript.
Experience: Minimum 2 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",aws;azure;gcp;git;sql,angular;git;github;html;javascript,4,2,master,none,20.0,100.0,100.0,44.19,54.05,0,1,Average,train,,,
P002380,R00595,J00185,backend,backend,"Summary: Recent graduate seeking entry-level opportunity with strong project work.
Technical Skills: django, fastapi, git, java, linux, python, spring, sql.
Experience: Academic projects and internships covering design and implementation.
Education: Bachelor of Science in Information Technology.
","Job Title: Backend Developer
Requirements: Strong background in aws, django, linux, mongodb, postgresql, spring boot.
Experience: Minimum 1 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",django;fastapi;git;java;linux;python;spring;sql,aws;django;linux;mongodb;postgresql;spring boot,0,1,bachelor,master,33.33,0.0,0.0,58.32,27.91,0,0,Weak,test,,,
P002714,R00678,J00029,devops,fullstack,"Summary: Motivated engineer with 6 years of experience across full project lifecycles.
Technical Skills: aws, azure, docker, git, github, kubernetes, linux, python, sql.
Experience: 6 years of professional experience including design, testing and deployment.
Education: Master of Science in Data Science.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, docker, python, react, sql.
Experience: Minimum 1 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;azure;docker;git;github;kubernetes;linux;python;sql,aws;docker;python;react;sql,6,1,master,bachelor,80.0,100.0,100.0,75.14,85.78,1,3,Strong,train,,,
P002576,R00644,J00109,fullstack,fullstack,"Summary: Software engineer with 7 years of experience building scalable applications.
Technical Skills: aws, docker, git, mongodb, node, sql, typescript.
Experience: Total of 7 years experience in software development and team collaboration.
Education: Bachelor of Science in Information Technology.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, docker, javascript, react.
Experience: Minimum 5 years of relevant experience required.
Education: PhD or doctorate preferred.
",aws;docker;git;mongodb;node;sql;typescript,aws;docker;javascript;react,7,5,bachelor,phd,50.0,100.0,0.0,77.8,59.45,0,1,Average,val,,,
P000102,R00025,J00037,backend,data_ml,"Summary: Motivated engineer with 1 years of experience across full project lifecycles.
Technical Skills: aws, docker, flask, git, mysql, postgresql, python, spring, spring boot, sql.
Experience: Total of 1 years experience in software development and team collaboration.
Education: M.Tech in Software Engineering.
","Job Title: ML Engineer
Requirements: Strong background in docker, git, machine learning, pandas, postgresql, python.
Experience: Minimum 2 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;flask;git;mysql;postgresql;python;spring;spring boot;sql,docker;git;machine learning;pandas;postgresql;python,1,2,master,bachelor,66.67,50.0,100.0,69.92,69.15,1,1,Average,train,,,
P000192,R00048,J00038,devops,devops,"Summary: Motivated engineer with 6 years of experience across full project lifecycles.
Technical Skills: azure, docker, gcp, github, linux, sql.
Experience: 6 years of professional experience including design, testing and deployment.
Education: B.Tech in Computer Science.
","Job Title: DevOps Engineer
Requirements: Strong background in aws, git, github, python.
Experience: Minimum 1 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",azure;docker;gcp;github;linux;sql,aws;git;github;python,6,1,bachelor,master,25.0,100.0,0.0,58.17,44.54,0,0,Weak,train,,,
