pair_id,resume_id,jd_id,track_resume,track_jd,resume_text,jd_text,resume_skills,jd_skills,exp_years_resume,exp_years_req,edu_resume,edu_req,skill_score,experience_score,education_score,bert_proxy,ats_proxy,label_match,competence_level,competence_label,split,source,kaggle_category,reviewer_label_match,reviewer_competence,reviewer_notes
PK004439,K01479,J00121,other,frontend,"         FINANCE MANAGER       Summary     Skilled Operations Manager talented at improving team performance through innovative management techniques. Offers thoughtful, comprehensive and constructive feedback to staff members to promote productivity and company loyalty.        Highlights          Operations Management  Customer Relations  Purchasing & Procurement  Fleet Management  Budgeting & Forecasting  Audits  Logistics  Accounting  P&L Management  Business Development  Quality Assurance & Control  Collection Management  Proficient in MS Excel, MS Access, MS Project, Quicken, MS PowerPoint, Inoviswork, SAP, Oracle ERP, Kronos              Accomplishments            Increased output by  32 % through  reorganization of locations to maximize efficiency.      Reduced staff turnover by 45% in one year by implementing several well-received team and morale-building programs.    Qualified location for 2 million dollar remodel by increasing sales 30% through retraining of sales team   Created critical KPIs to track and improve on-time delivery, customer issues and safety statistics.     Boosted customer satisfaction ratings by  40 % in under  4  months.          Experience     03/2016   to   Current     Finance Manager    Company Name   －   City  ,   State      Partner with Product Management and Purchasing Team in determining financial impact due to product cost reductions, new product roll out, etc.   Performed financial statement audits of security broker dealers for purposes of SEC/FINRA purposes.     Completed monthly, quarterly and annual bank reconciliations for 11 small companies.    As appropriate, based on findings make proposal for operational changes (policy, procedures, processes, etc.) Fulfill responsibilities under OHSAS 18001, understand and fully support OHSAS 18001 system.         02/2013   to   03/2016     District Manager    Company Name   －   City  ,   State      Determine the hiring needs of the store, interview prospects, and bring on board store associates that will work courteously, efficiently, and effectively to meet the store's operational goals.   Developed and managed annual operating budgets for 4 locations in the division.      Recruited, hired and trained  20  new employees for District Management and  Store Management           Ensure operational policies and procedures are adhered to by all store personnel.         06/2010   to   11/2012     Operations  Manager    Company Name   －   City  ,   State      Enhance the operational procedure, systems and principles in the areas of information flow and management, business processes and enhanced management reporting   Organize and intensify efficiency support services by ameliorating functions and coordinating communication between businesses and support functions   Perform a meaningful role in long-term planning and establishment initiatives aimed at operational distinction   Supervise overall planning systems, financial management and control Organizing the budget of the company in collaboration with the director.         06/2001   to   06/2010     General Manager    Company Name   －   City  ,   State      Increased profits by 20% in first year, resulting in one of the best possible ROI's.  Cut cost of goods sold by 13% by negotiating lower freight rates and increasing standards of product quality.  Identified need for comprehensive business management solutions.  Developed training program for new employees that company implemented nation wide.          Education      2008     Bachelor of Arts  :   Political Science    Grand Valley State University   －   City  ,   State             2012     J.D.  :   Criminal Law    Duke University Law School   －   City  ,   State              Skills    Accounting, Budgeting, budgets, budget, Business Development, business management, business processes, business solutions, Customer Relations, ERP, financial, financial management and control, Forecasting, hiring, inventory, Kronos, Logistics, director, management reporting, MS Access, MS Excel, MS PowerPoint, MS Project, negotiating, Operations Management, Oracle, Organizing, personnel, policies, processes, Procurement, Product Management, progress, proposal, Purchasing, quality, Quality Assurance, Quicken, sales, SAP   ","Job Title: Frontend Developer
Requirements: Strong background in css, express, html, react.
Experience: Minimum 2 years of relevant experience required.
Education: Relevant practical experience valued; no strict degree requirement.
",oracle,css;express;html;react,0,2,bachelor,none,0.0,0.0,100.0,36.15,24.04,0,0,Weak,train,kaggle,FINANCE,,,
PK005816,K01938,J00061,other,frontend,"         CONSTRUCTION WORKER           Summary    A motivated hard working individual that is willing to learn and accomplish any task that is giving to me, I've always been dependable and reliable. Motivated to get along well with others and exceed expectations. Thrives in a fast-paced environment and works to complete projects quickly and efficiently. Experienced Construction Laborer knowledgeable about the tools, materials and methods used in road construction.
Highlights Demolition          Asphalt Excellent driving record Strong communication skills OSHA Certified Construction Workers Union Local 265      Accomplishments      Residential construction Sandbagging Traffic Control Laying the liner.  Accomplishments Lead a crew of 6 general construction laborers workers for a year.          Experience      Construction Worker    March 2012   to   October 2014     Company Name   －   City  ,   State      Planted Plants in the ground at the Cincinnati city parks, Cleaned the parks.          Construction Worker    March 2008   to   March 2012     Company Name   －   City  ,   State      Flagged Traffic and set traffic control.          Construction Worker    August 2005   to   February 2008     Company Name   －   City  ,   State      General Cleaning the college dorms out for the year.  Helping the foreman out when he needed me to assist him with the ceiling tile.          Construction worker/ Painter    June 2005   to   Current     Company Name   －   City  ,   State      Painting, Cleaning up some remolding houses and apartment's.          Skills    Painting      Education      High School Diploma   :     1 1985    West Fulton High School   －   City  ,   State  ,   United States            Drexel J. Thrash Training Center               ","Job Title: Frontend Developer
Requirements: Strong background in angular, css, express, github, react, typescript, vue.
Experience: Minimum 2 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",,angular;css;express;github;react;typescript;vue,0,2,bachelor,bachelor,0.0,0.0,100.0,41.09,25.27,0,0,Weak,train,kaggle,CONSTRUCTION,,,
PK002225,K00741,J00164,other,fullstack,"         ENUMERATOR       Summary    Recent graduate with BA in Business Administration looking to obtain a position as an Administrative Assistant in which my organizational abilities can be fully utilized. Hard working and goal-oriented professional with four years of experience seeking a to achieve career growth where I will get an opportunity to utilize my skills and abilities in handling the clerical and administrative support work, and activities.      Highlights          Time Management  SAP and SRM  Cash Request / Cash handling  Check Request  Purchase Orders   Microsoft Office: Word, Excel, PowerPoint, Outlook.  Data Entry  Filing and Maintaining Records  Account receivable and Payment posting  Timekeeping  Calendar Maintains              Accomplishments     Received a merit raise for strong attention to detail, exemplary customer service and team-player attitude.        Experience     04/2016   to   Current     Enumerator    Company Name   -   City  ,   State      Collect demographic, economic and housing data on behalf of the U.S.  Census Bureau.  Responsible for canvassing neighborhoods, then documenting and reporting the information.  Conducts surveys about the U.S.  population, economy, governments and communities.  Responsible for verifying household addresses and ensuring that all maps and address lists are correct.  All collected census information, as well as documentation of hours, miles and expenses encountered Assist residents by reading forms and answering questions about the census.         10/2015   to   03/2016     Healthcare Advocate    Company Name   -   City  ,   State      Respond to and resolve on the first call, customer service inquires and issues by identifying the topic and type of assistance the caller needs such as benefits, eligibility and claims, financial spending accounts and correspondence.  Help guide and educate customers about the fundamentals and benefits of consumer-driven health care topics to include managing their health and well-being by selecting the best benefit plan options, maximizing the value of their health plan benefits and choosing a quality care provider Intervene with care providers (doctor's offices) on behalf of the customer to assist with appointment scheduling or connections with internal specialists for assistance when needed Assist customers in navigating myuhc.com and other UnitedHealth Group websites and encourage and reassure them to become self-sufficient Owned problem through to resolution on behalf of the customer in real time or through comprehensive and timely follow-up with the member Research complex issues across multiple databases and work with support resources to resolve customer issues and/or partner with others to resolve escalated issues Provide education and status on previously submitted pre-authorizations or pre-determination requests Meet the performance goals established for the position in the areas of: efficiency, call quality, customer satisfaction, first call resolution and attendance.         02/2013   to   10/2015     Receptionist II    Company Name   -   City  ,   State      Performed varies administrative tasks requiring the exercise of discretion and judgment and provided administrative support to faculty and staff in the Critical Care Department.  Greets visitors and directs them to the appropriate staff.  Initiates purchase orders, and travel reimbursements in SAP.  Answered the telephone and assists callers; reads and routes incoming mail.  Overseen the filing and maintenance of correspondence and other records, and entered, tracked and maintained timesheets for division employees and faculty.  Strong proficiency in Excel (pivot tables/data creating and formatting) for reports.  Maintained and provided assistance with the interpretation of various reports and forms.  Developed and maintained databases, data forms, and progress reports.  Flexible, highly organized, productive, & possess exceptional time management skills.  Experience with manuscript preparation and Endnotes with attention to detail and accuracy.         11/2012   to   01/2013     Front office Assistant    Company Name   -   City  ,   State      Greeted patients.  Answering multi-line phone and route to appropriate department.  Scheduling and conforming the appointments.  Registering new patients.  Updated records for established patients.          Education     05/2016     Bachelor of Business Administration  :   Healthcare Management    American InterContinental University   -   City  ,   State      Healthcare Management       04/2011     Medical Billing and Coding                  HIPAA Privacy & Security Certification      Sanford Brown College   -   City  ,   State             06/2010     Certified Nursing Assistant 									08/2010
Aids for Home and Healthcare 								Pasadena, TX      Alief Hasting High School                  Languages    Fluent  in Spanish      Skills    administrative, administrative support, attention to detail, benefits, Cash handling, com, Critical Care, customer satisfaction, Customer Service, Data Entry, databases, documentation, Filing, financial, forms, interpretation, managing, Medical Billing, Excel, mail, Microsoft Office, Outlook, PowerPoint, Word, Nursing, pivot tables, Coding, progress, quality, reading, real time, reporting, Research, SAP, Scheduling, Fluent  in Spanish, surveys, telephone, phone, Time Management, type, websites   ","Job Title: Full Stack Developer
Requirements: Strong background in aws, docker, javascript, node, python.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",,aws;docker;javascript;node;python,0,2,bachelor,master,0.0,0.0,0.0,40.94,10.23,0,0,Weak,test,kaggle,HEALTHCARE,,,
P002174,R00543,J00090,devops,backend,"Summary: Software engineer with 6 years of experience building scalable applications.
Technical Skills: aws, docker, gcp, git, sql.
Experience: Total of 6 years experience in software development and team collaboration.
Education: B.Tech in Computer Science.
","Job Title: Backend Developer
Requirements: Strong background in aws, django, docker, mysql, postgresql.
Experience: Minimum 2 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",aws;docker;gcp;git;sql,aws;django;docker;mysql;postgresql,6,2,bachelor,master,40.0,100.0,0.0,61.89,51.47,0,1,Average,val,synthetic,,,,
P002587,R00646,J00106,frontend,frontend,"Summary: Motivated engineer with 1 years of experience across full project lifecycles.
Technical Skills: angular, css, github, html, react, typescript.
Experience: 1 years of professional experience including design, testing and deployment.
Education: Bachelor of Science in Information Technology.
","Job Title: Frontend Developer
Requirements: Strong background in express, git, html, javascript.
Experience: Minimum 3 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",angular;css;github;html;react;typescript,express;git;html;javascript,1,3,bachelor,bachelor,25.0,33.33,100.0,52.62,44.82,0,0,Weak,val,synthetic,,,,
P002370,R00592,J00106,data_ml,frontend,"Summary: Motivated engineer with 1 years of experience across full project lifecycles.
Technical Skills: docker, git, mysql, pandas, postgresql, pytorch, scikit-learn, sql.
Experience: Worked for 1 years as a software engineer delivering production systems.
Education: BCA in Computer Applications.
","Job Title: Frontend Developer
Requirements: Strong background in express, git, html, javascript.
Experience: Minimum 3 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",docker;git;mysql;pandas;postgresql;pytorch;scikit-learn;sql,express;git;html;javascript,1,3,bachelor,bachelor,25.0,33.33,100.0,49.56,44.06,0,0,Weak,val,synthetic,,,,
PK000748,K00249,J00109,fullstack,fullstack,"    Objective    To obtain a position in the information technology, personnel development, or computer science field to help manage, develop, and support projects and individuals.           ADJUNCT INFORMATION TECHNOLOGY INSTRUCTOR       Experience      Adjunct Information Technology Instructor   01/2014   to   Current     Company Name   City  ,   State       Taught courses concerning the Python, Visual Basic, and C# programming languages.  Sat on CIT advisory board committee to improve and recruit students to the KCTCS CIT program.          Information Technology Instructor and School Technology Coordinator   11/2011   to   Current     Company Name   City  ,   State       Responsible for meeting the educational needs of high school students.Instructed classes concerning A+ certification, Cisco certification, web design, programming, game design, and help desk.  Taught programming courses concerning C#, Python, Java, and Javascript programming language, as well as taught various web frameworks.  STC support staff for CTE Unit to meet staff's technological needs including LMS support, teacher technology training, and maintaining school website.  Developed mobile applications with student body to meet district needs.  Supervisor of internally ran Help Desk, support ticket maintenance, and department head of technology troubleshooting for staff.            Geek Squad Agent   04/2007   to   09/2010     Company Name   City  ,   State        Set up, tested and configured networks, desktops, laptops and printers.     Coordinated hardware and software repair processes with outside vendors.        Trained  new employees in effective diagnostic and repair procedures.          Analyzed software, hardware and network systems for various transmission systems.        Configured and installed routers, switches and wireless controllers.            Education      Master of Science  :   Computer Information Systems   2015       Murray State University   City  ,   State       Project Management and Data Analysis Emphasis        Master of Arts  :   Education   2013       Murray State University   City  ,   State       Educational Technology Emphasis        Bachelor of Science  :   Education   2011       Murray State University   City  ,   State        Middle School Science and Social Studies Emphasis  GPA: 3.69         Information Technology Certifications      Comptia - Strata IT Fundamentals  Microsoft Technology Associate - Network Fundamentals  Microsoft Technology Associate - Windows O.S. Fundamentals  Microsoft Technology Associate - Software Development   Microsoft Technology Associate - Web Development         Skills      Google and Microsoft suite experience through coursework and classroom implementation.  Familiar with both the educational and information technology fields.  Experience in both project management and educating teachers on the use of technology in the classroom .         Awards / Recognition / Volunteer Work       Kentucky Colonel Award   HCHS Curriculum Committee - Vice Chair    Cum Laude - Murray State University					     May 2011      ","Job Title: Full Stack Developer
Requirements: Strong background in aws, docker, javascript, react.
Experience: Minimum 5 years of relevant experience required.
Education: PhD or doctorate preferred.
",c;c#;java;javascript;python,aws;docker;javascript;react,0,5,master,phd,25.0,0.0,0.0,59.01,24.75,0,0,Weak,train,kaggle,INFORMATION-TECHNOLOGY,,,
P001824,R00456,J00126,frontend,frontend,"Summary: Results-driven developer with 4 years of hands-on industry experience.
Technical Skills: css, express, git, javascript, linux, typescript.
Experience: Total of 4 years experience in software development and team collaboration.
Education: PhD in Machine Learning.
","Job Title: Frontend Developer
Requirements: Strong background in angular, css, html, node, typescript, vue.
Experience: Minimum 2 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",css;express;git;javascript;linux;typescript,angular;css;html;node;typescript;vue,4,2,phd,bachelor,33.33,100.0,100.0,67.43,65.19,1,1,Average,train,synthetic,,,,
P002879,R00719,J00174,fullstack,fullstack,"Summary: Software engineer with 2 years of experience building scalable applications.
Technical Skills: aws, docker, express, git, linux, mongodb, node, python, react, sql, typescript.
Experience: 2 years of professional experience including design, testing and deployment.
Education: Master of Science in Data Science.
","Job Title: Full Stack Developer
Requirements: Strong background in aws, express, node, python, react, sql.
Experience: Minimum 5 years of relevant experience required.
Education: Bachelor's degree in Computer Science or related field required.
",aws;docker;express;git;linux;mongodb;node;python;react;sql;typescript,aws;express;node;python;react;sql,2,5,master,bachelor,100.0,40.0,100.0,100.0,88.0,1,3,Strong,train,synthetic,,,,
PK001562,K00520,J00055,other,backend,"         COURT APPOINTED SPECIAL ADVOCATE FOR ABUSED AND NEGLECTED CHILDREN       Summary     Highly-motivated Licensed Social Worker with 7 years of experience working with children and adolescents in various environments. seeks to advocate, connect and collaborate with individuals and their families to help them overcome barriers that affect their daily life.            Highlights          Emergency response training  Suicide risk assessments  Basic Cardiac Life Support (BCLS) Certified  .Case management        . Excellent in organization and documentation   Creating and following treatment plans  .Collaborative   .Culturally competent             Experience     September 2013   to   Current     Company Name    City  ,   State    Court appointed special advocate for abused and neglected children         Collaborated with Guardian ad Litem's, Child protective service workers, Mental health professionals, teachers and parents    Maintained monthly contact with my client and their families.  Evaluated and addressed individual client needs and concerns.  Wrote court reports and case plans  Maintained thorough case history records and wrote detailed reports.  Managed caseloads and acted as an advocate for client rights..         February 2013   to   Current     Company Name    City  ,   State    Emergency Medical Technician and Social Worker volunteer        Assist with community public education  Support prevention efforts   Assist with local and major disasters  Attend trainings and education seminars          September 2015   to   May 2015     Company Name    City  ,   State    Social work Intern        Semiweekly, worked under the indirect supervision of the school social worker.  Conducted individual and group counseling and provided crisis management.   Attended both IEP and staff meetings and worked collaboratively with teachers and parents.   Individually created, followed and maintained intervention plans and kept detailed narrative reports of my client interactions.   Assisted students with setting up outside resources and participated in risk assessments.  Practiced cognitive behavioral and motivational enhancement techniques.   Maintained a caseload of 10-15 clients, working under strict deadlines.          September 2015   to   May 2015     Company Name    City  ,   State    Social Worker Intern        Once a week  interned at the elementary school with the school social worker for 7 hours.  My responsibilities included individual counseling, group counseling, creating and following treatment plans, following behavioral plans, emotional support, and attending IEP meetings.  Presented case history material for review and discussion with other staff members.  Evaluated and addressed individual client needs and concerns.         September 2014   to   May 2015     Company Name    City  ,   State    Social Work Intern        Under the indirect supervision of the school social worker, once a week for an hour, I provided individual counseling.  In addition I helped create personal plans of action in order for students to concentrate better while in the school environment.         January 2009   to   January 2013     Company Name    City  ,   State    Child Care        Provided daily summer and after school care for a young boy who has an autism spectrum disorder    Completed summer school and regular school assignments, visited educational and physical fitness facilities, and assisted with behavior and emotional problems.  Designed an effective behavioral modification program.          September 2011   to   May 2012     Company Name    City  ,   State    Hippotherapy volunteer         Accompanied occupational therapists in guiding medically challenged children during their Hippotherapy sessions.         September 2011   to   December 2011     Company Name    City  ,   State    Research Intern         Interned at Settlement Music school with a research team from West Chester University, assessing the correlation of poverty and learning.  .Collected and maintained data.   .Collaborated with teachers and staff around student schedules.   .Assisted teachers with daily classroom activities.          September 2009   to   August 2011     Company Name    City  ,   State    Girl Scout Leader        Effectively coordinated and led Daisy Girl Scout troops for several years and assisted them through the moving up ceremonies.  .Created lesson and activity plans.  .Collaborated with parents.          February 2008   to   February 2010     Company Name    City  ,   State    Foster care assistant        Assisted with the care of 3 medical and special needs children, within the foster system.  Effectively maintained and fed 2 children through a Gastrostomy tube.  .Provided respite care for a child with autism and a heart defect           Education     2015     West Chester University   City  ,   State      Social Work    Master of Social Work      Education in program evaluation and policy analysis  Continuing education in Recognizing and reporting child abuse   Cognitive Behavioral Therapy coursework  Structural Family Therapy seminar  Cognitive processing Therapy   Trauma informed education  Acceptance and Commitment Therapy         2013     West Chester University   City  ,   State      Psychology    Bachelor of arts       Deans List     Admitted to honorary society     Member of Autism Speaks U group           2011     Delaware County Community College   City  ,   State      Psychology    Associates of Psychology      Presidents honor list  Admitted to honorary society           Skills      Compassionate    Active listener   Experienced in working with individuals and groups  Independent   Strong communicator  Knowledge of child development   Self-Awareness  Empathy   Boundary Setting   Time-management        ","Job Title: Backend Developer
Requirements: Strong background in aws, flask, java, linux, python, spring boot.
Experience: Minimum 4 years of relevant experience required.
Education: Master's degree in Computer Science or related field required.
",,aws;flask;java;linux;python;spring boot,7,4,master,master,0.0,100.0,100.0,36.73,44.18,0,0,Weak,train,kaggle,ADVOCATE,,,
